file,severity,score,tier,flags
advanced-post-manager-c5ff432210d446c4c1112bc0d9c04403.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
advanced-xml-reader-a1beaf833a68f5895f270c60dcc7eac0.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
ait-csv-import-export-4bf82f0bc6d8b72ec6bfa493701fd6b8.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
ajax-load-more-34d77d84285e978535a70f8eb181ecc1.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
ajax-random-posts-6b680a41681561056e80b0384ffd0a21.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
ajax-search-lite-10ace6f93adfc50bc7be12792e51ef21.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
ajax-store-locator-3ae93c8ae8b1aea53b94460bdb9fef88.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
ajax_multi_upload-83b813f64a56179c4941fe5814c24d69.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
all-in-one-event-calendar-2e9050f5020d6f0a34b7ea7daa4911fe.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
alphabetic-pagination-cc21ec041af33517c665a1266ea76d63.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
amazon-product-in-a-post-plugin-e25a9553dffe4f228cf01391add85552.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
analytics-counter-5f22e6f8c903370beb0ac4fd204c0e91.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
annonces-701e42d4ac1d386a1411ece3c4c8616b.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
answer-my-question-fe9a82a1e694017d2e9298605abce4cb.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
apocalypse-meow-a9ee2302255a0d7495e5ad8b9d7d88da.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
appointment-booking-calendar-c92a82fa6c57db438a257630795d6563.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
appointments-d1afe740f7de53a64b161643b18b9ca0.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
asset-manager-6909d1834bc2bf2684d74922b6f155cb.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
auctionPlugin-328c39b2437ef4afa3e6eb00d608a01c.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
audio-record-a6c6d6454271ccd5c8352e6d183e921b.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
augmented-reality-afd76b54e4672fae1a12cf88cc16c59a.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
author-chat-0503e5a29e2dfe79424418f2533badaa.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
autoptimize-2ecfdf7e957d875bca93a4c9bd866fc9.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
baggage-freight-659c7086c7a6e112e09c3e9a4cdb5d62.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
bb-ultimate-addon-3815c578c25f7f27ed21ebdab98f18d5.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
bbs-e-franchise-cd1052b454e1b97619e4898db883020a.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
better-search-c9c3c01b642699707ddce10900fcc387.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
bigcontact-59b43fd28520f01dcd6a3336fccfce73.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
blaze-slide-show-for-wordpress-15937ffde271707e44712ba73e07dcd5.yaml,critical,70,3-acceptable,cve_tagged_missing_cve_id|strong_and_matchers|readme_only_path
